,Work Description,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,APN_number,AIN,GeneralUseType,SpecificUseType,RecordingDate,Bedrooms,Bathrooms,Units,TotalValue
4087,"ADD 20' 11"" X 20' 5"" ACCESSORY DWELLING UNIT ABOVE (E) 2-CAR GARAGE AN",2019-10-04,45000.0,400.0,0.0,2.0,RS-1,2035007005,2035007005,Residential,Single Family Residence,2014-06-06,3.0,2.0,1,"500,002.00"
4088,"New detached Accessory Dwelling Unit per AB 494 and SB 229; 20'5"" x 17",2018-04-18,50000.0,262.0,,1.0,R1-1,4320003035,4320003035,(missing),(missing),2002-09-05,3.0,3.0,2,"716,417.00"
4089,"ADD  18'5"" X 24'9"" 1ST FLOOR  IRREGULAR SHAPED  ACCESSORY DWELLING UNI",2019-10-16,100000.0,1617.46,0.0,2.0,R1-1,5477022001,5477022001,Residential,Single Family Residence,2018-11-14,2.0,2.0,1,"356,862.00"
4090,CONVERT (E) 20' X 20' DETACHED GARAGE INTO AN ACCESSORY DWELLING UNIT,2018-03-30,21000.0,490.0,,0.0,R1-1-CUGU,2631028013,2631028013,Residential,Single Family Residence,2006-01-24,5.0,3.0,1,"408,461.00"
4091,"CONVERT (E) 20'-0"" X 28'-3"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING",2019-12-31,40000.0,330.0,0.0,0.0,R1-1,2101003017,2101003017,Residential,Single Family Residence,1999-08-26,4.0,2.0,1,"213,543.00"
4092,"NEW 46'6"" X 27'0"" ACCESSORY DWELLING UNIT PER AB 2299 AND SB 1069.",2017-10-05,130000.0,1174.5,,1.0,RD2-1,6020003001,6020003001,Residential,Single Family Residence,2017-07-06,5.0,4.0,2,"477,288.00"
4093,"CONVERT 18'-3"" x 20'-2"" (E)DETACHED GARAGE TO ACCESSORY DWELLING UNIT",2019-06-03,16000.0,330.0,,1.0,R1R3-RG,5066010016,5066010016,Residential,Single Family Residence,2006-12-20,3.0,2.0,1,"82,898.00"
4094,Convert portion of (E) Single Family Dwelling to an Accessory Dwelling,2019-01-22,2000.0,1490.0,0.0,1.0,R1-1,4004028012,4004028012,Residential,Single Family Residence,2013-05-31,3.0,1.0,1,"357,669.00"
4095,(N) 2-STORY DETACHED ACCESSORY DWELLING UNIT PER AB494 AND SB229,2019-09-23,135000.0,1151.0,,2.0,R1-1VL-RIO,5445028025,5445028025,Residential,Single Family Residence,2018-01-18,2.0,1.0,1,"292,004.00"
4096,"CONVERT 21'3""X20'6"" (E) ATTACHED GARAGE INTO A (N) ACCESSORY DWELLING",2018-05-17,20000.0,2042.0,0.0,1.0,RS-1,2151003015,2151003015,Residential,Single Family Residence,2016-09-15,3.0,2.0,1,"707,471.00"
4097,NEW SINGLE STORY (DETACHED) ACCESSORY DWELLING UNIT AS PER AB 494 AND,2019-04-15,110000.0,1097.0,,1.0,R1-1,4005009022,4005009022,Residential,Single Family Residence,2013-04-30,2.0,1.0,1,"253,893.00"
4098,CONVERT EXISTING ATTACHED GARAGE INTO ACCESSORY DWELLING UNIT PER AB 2,2018-11-13,21528.0,470.0,0.0,0.0,RS-1,2034010022,2034010022,Residential,Single Family Residence,2017-10-31,3.0,2.0,1,"622,200.00"
4099,CONVERT (E) (20' X 23') DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER,2019-09-30,21000.0,460.0,,0.0,RS-1,2304013029,2304013029,Residential,Single Family Residence,2018-10-05,3.0,2.0,1,"655,000.00"
4100,NEW 38' X 18' ACCESSORY DWELLING UNIT PER AB 494 & SB 229. ALL WORK DO,2019-09-25,69000.0,638.0,,1.0,R2-1,5001027014,5001027014,Residential,Single Family Residence,2018-11-07,3.0,1.0,1,"436,458.00"
4101,"PROPOSE (N)16'-6""X23'-6"" ONE STORY ACCESSORY DWELLING UNIT PER AB 2299",2017-11-29,40000.0,387.75,,1.0,R1-1,2106033009,2106033009,Residential,Single Family Residence,2014-03-07,4.0,3.0,1,"328,230.00"
4102,"CONVERT (18'-4"" X 20'-1"") GARAGE INTO ACCESSORY DWELLING UNIT PER AB 4",2018-05-10,60000.0,2501.0,0.0,2.0,R1-1,2160018141,2160018141,Residential,Single Family Residence,2014-09-30,3.0,2.0,1,"699,777.00"
4103,CONVERT (E) GARAGE TO ACCESSORY DWELLING UNIT AND 2ND STORY ADDITION P,2019-10-02,400000.0,472.0,,2.0,R1-1,4412012015,4412012015,Residential,Single Family Residence,2015-12-23,3.0,5.0,1,"3,261,302.00"
4104,"CONVERT ACCESSORY LIVING QUARTER TO ACCESSORY DWELLING UNIT, ALL WORK",2020-02-28,8000.0,0.0,,,RA-1,2104003019,2104003019,Residential,Single Family Residence,2003-12-04,4.0,3.0,1,"591,658.00"
4105,CONVERT DETACHED GARAGE (92VN11357) TO ACCESSORY DWELLING UNIT PER AB4,2019-03-13,27000.0,539.0,,,R1-1,2156007006,2156007006,Residential,Single Family Residence,2017-06-15,5.0,2.0,1,"354,628.00"
4106,CONVERT DETACHED  GARAGE/STORAGE BUILDING TO ACCESSORY DWELLING UNIT P,2019-09-30,75000.0,1084.0,,,RE9-1XL-RFA,2712003021,2712003021,Residential,Single Family Residence,2018-03-14,4.0,2.0,1,"836,400.00"
4107,Convert  409 sq ft of 1st floor to Accessory Dwelling Unit per AB 2299,2017-03-15,12000.0,0.0,1.0,2.0,R3-1,5501020012,5501020012,Residential,"Double, Duplex, or Two Units",2016-01-14,4.0,4.0,2,"879,272.00"
4108,CONVERT EXISTING 20'-0'X 22'-0'' ATTACHED GARAGE TO ACCESSORY DWELLING,2018-02-20,20300.0,,,1.0,R1-1,2104018042,2104018042,Residential,Single Family Residence,2006-03-06,5.0,4.0,1,"701,000.00"
4109,(N) 21' X 36' 1-STORY ACCESSORY DWELLING UNIT. ALL WORK PER WOOD FRAME,2020-05-27,74000.0,673.0,,1.0,R1-1-CUGU,2616012010,2616012010,Residential,Single Family Residence,1994-07-07,2.0,1.0,1,"29,596.00"
4110,"NEW 22'-0"" X 16'-0"" ACCESSORY DWELLING UNIT PER AB 494 & SB 229.",2018-11-28,35552.0,352.0,,1.0,R1-1-RIO,2356035038,2356035038,Residential,Single Family Residence,2017-04-07,2.0,3.0,1,"904,107.00"
4111,PROPOSED ACCESSORY DWELLING UNIT LOCATED AT REAR OF LOT. ***SEE COMMEN,2018-03-27,150000.0,800.0,,1.0,R1-1-HPOZ,5504019009,5504019009,Residential,Single Family Residence,2016-09-13,5.0,4.0,2,"2,442,020.00"
4112,CONVERT BEDROOM (435 SF) TO ACCESSORY DWELLING UNIT PER AB494 & SB229,2019-07-02,10000.0,,0.0,,RS-1,2671022028,2671022028,Residential,Single Family Residence,2001-09-19,4.0,3.0,1,"344,309.00"
4113,"CONVERT (E) 18'-3"" X 20'-0"" DETACHED GARAGE TO (N) ACCESSORY DWELLING",2019-03-18,20000.0,328.0,,1.0,R1-1-RIO,2366001006,2366001006,Residential,Single Family Residence,2013-05-13,2.0,1.0,1,"576,233.00"
4114,CONVERT (E) GARAGE TO ACCESSORY DWELLING UNIT AND STORAGE PER AB 494 A,2019-10-01,20000.0,363.0,,1.0,R1-1,2249018017,2249018017,Residential,Single Family Residence,2016-09-01,4.0,2.0,1,"832,319.00"
4115,"CONVERT (E) 17'-11"" X 20'-1"" DETACHED GARAG TO (N) ACCESSORY DWELLING",2019-10-02,16000.0,338.0,,0.0,R1-1,2552025005,2552025005,Residential,Single Family Residence,2004-05-27,2.0,1.0,1,"175,653.00"
4116,CONVERT (E) 2 STORY SFD TO SFD AND ADU PER AB494 AND SB229,2019-10-04,10000.0,0.0,0.0,0.0,R1-1XL-O-CUGU,7425012028,7425012028,Residential,Single Family Residence,2017-08-23,6.0,3.0,1,"587,826.00"
4117,CONVERT EXISTING DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494,2018-11-29,13000.0,281.0,,1.0,R1-1,2228001006,2228001006,Residential,Single Family Residence,2018-09-28,2.0,1.0,1,"569,000.00"
4118,CONVERT (E) DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND,2019-06-17,33000.0,679.0,,1.0,R1V2,4112028001,4112028001,Residential,Single Family Residence,2012-12-21,3.0,2.0,1,"880,910.00"
4119,CONVERT (E) 15' X 19' RECREATION ROOM TO (N) ACCESSORY DWELLING UNIT P,2019-01-22,22000.0,60.0,,0.0,RD3-1-RIO-CUGU,5172005025,5172005025,Residential,Single Family Residence,2018-11-01,3.0,1.0,1,"130,008.00"
4120,CONVERT THE (E) 18'x20' DETACHED GARAGE INTO AN ACCESSORY DWELLING UNI,2019-10-04,35000.0,360.0,,,R1-1,2347003009,2347003009,Residential,Single Family Residence,2004-10-13,4.0,3.0,1,"347,052.00"
4121,CONVERT (E) GARAGE AND REC ROOM TO NEW ACCESSORY DWELLING UNIT PER AB,2019-10-03,35000.0,160.0,,0.0,R1-1XL-O-CUGU,7415003027,7415003027,Residential,Single Family Residence,1992-05-28,2.0,1.0,1,"207,825.00"
4122,CONVERT (E) GARAGE & REC. ROOM TO AN ACCESSORY DWELLING PER AB. 494 AN,2018-08-27,20000.0,759.0,,1.0,R1-1-O-HPOZ,5052004009,5052004009,Residential,Single Family Residence,2001-01-26,3.0,2.0,1,"300,153.00"
4123,Conversion of detached garage to accessory dwelling unit per AB2299 an,2017-10-04,16000.0,354.0,,1.0,R1-1VL,5434034009,5434034009,Residential,Single Family Residence,2012-12-04,3.0,2.0,1,"730,959.00"
4124,"NEW 2 STORY 31'-0""X21'-3"", MAX HEIGHT 22'-0"" ACCESSORY DWELLING UNIT P",2019-10-02,120190.0,1181.0,,2.0,RS-1,2610003005,2610003005,Residential,Single Family Residence,2016-08-30,3.0,2.0,1,"404,994.00"
4125,"CONVERT (E) 17'-6"" X 20'-2"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING",2019-10-04,18000.0,322.0,0.0,0.0,RS-1-O,2648021015,2648021015,Residential,Single Family Residence,2015-07-13,3.0,3.0,1,"585,630.00"
4126,"CONVERT (E) 18'-1"" X 20'-0"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING",2019-10-04,15000.0,324.5,0.0,0.0,R1-1,2639037009,2639037009,Residential,Single Family Residence,2013-01-29,2.0,1.0,1,"436,522.00"
4127,"ADD IRREGULAR 27'-2"" X 44'-7"" TO AN (E) ACCESSORY DWELLING UNIT PER AB",2019-04-12,67000.0,649.0,,0.0,R1-1,2336026005,2336026005,Residential,Single Family Residence,2012-04-13,3.0,2.0,2,"323,949.00"
4128,"Add 18'4"" x 23' accessory dwelling unit to detached garage per AB494 &",2018-10-22,43000.0,398.0,,1.0,R1-1-RFA,2552017020,2552017020,Residential,Single Family Residence,2009-04-03,3.0,2.0,1,"369,400.00"
4129,partial demolish (e) garage and convert to ADU with addition per ab494,2018-08-24,135000.0,1062.0,,1.0,R1-1,2229003029,2229003029,Residential,Single Family Residence,2018-04-12,3.0,2.0,1,"647,700.00"
4130,"NEW 35' x 26'6"" ACCESSORY DWELLING UNIT PER AB 494 AND SB 229. ALL WOR",2019-10-01,80000.0,828.0,,1.0,R1-1,2264010044,2264010044,Residential,Single Family Residence,1972-06-02,2.0,1.0,1,"61,478.00"
4131,"NEW 1-STORY 20' X 20'-6"" SQ FT ACCESSORY DWELLING UNIT PER SB 229 AND",2019-10-02,75000.0,383.4,,1.0,R1-1,6050019013,6050019013,Residential,Single Family Residence,2008-06-24,4.0,2.0,1,"291,184.00"
4132,"CONVERT (E) 17'3"" x 19'2"" DETACHED GARAGE TO AN ACCESSORY DWELLING UNI",2017-05-05,15000.0,330.0,1.0,,R1-1,2167007009,2167007009,Residential,Single Family Residence,2005-09-29,3.0,2.0,1,"830,900.00"
4133,CONVERT (E) 20' X 26' DETACHED GARAGE TO (N) ACCESSORY DWELLING UNIT P,2019-01-10,20000.0,497.0,,0.0,R1-1-RFA,2566008027,2566008027,Residential,Single Family Residence,2015-06-15,3.0,2.0,1,"270,035.00"
4134,NEW ACCESSORY DWELLING UNIT PER AB 494 AND SB 229,2019-10-02,120000.0,1198.0,,1.0,R1-1,6017023020,6017023020,Residential,Single Family Residence,2014-01-23,3.0,2.0,1,"225,328.00"
4135,Convert detached garage to ADU  at rear of the lot per AB 494 and SB 2,2019-10-02,30000.0,406.0,,1.0,R2-1VL,5401013017,5401013017,Residential,Single Family Residence,2015-10-30,2.0,1.0,1,"848,966.00"
4136,CONVERT DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 2,2019-10-04,25000.0,322.0,,,R1-1,2115003024,2115003024,Residential,Single Family Residence,2004-09-14,3.0,2.0,1,"259,553.00"
4137,"Add irregular shape 40' x 24'10"" accessory dwelling unit to detached g",2019-10-04,115000.0,969.0,,1.0,R1-1,2414011017,2414011017,Residential,Single Family Residence,1996-06-20,3.0,1.0,1,"218,153.00"
4138,"CONVERT (E) 18'-2"" X 18'-2"" DETACHED GARAGE TO ACCESSORY DWELLING UNIT",2019-10-02,15000.0,295.0,,1.0,R1-1,2355011005,2355011005,Residential,Single Family Residence,1982-09-30,2.0,1.0,1,"221,880.00"
4139,Convert existing attached garage into ADU per AB 2299 & SB 1069. No ch,2017-07-25,47200.0,458.0,0.0,0.0,RE11-1,2715011016,2715011016,Residential,Single Family Residence,1986-11-21,3.0,2.0,1,"117,966.00"
4140,NEW ATTACHED ADU TO (E) GARAGE.,2018-02-08,90000.0,870.37,,1.0,R1-1-RFA,2566015060,2566015060,Residential,Single Family Residence,2009-12-01,2.0,2.0,1,"367,277.00"
4141,NEW ACCESSORY DWELLING UNIT PER AB 494 AND SB 229.,2019-10-02,200000.0,1076.0,,2.0,RE40-1,2075025042,2075025042,Residential,Single Family Residence,2018-03-21,3.0,3.0,1,"662,339.00"
4142,CONVERT (E) GARAGE TO ACCESSORY DWELLING UNIT AND ADDITION TO ACCESSOR,2019-10-02,70000.0,808.0,,1.0,R1-1,2325021037,2325021037,Residential,Single Family Residence,2012-10-05,3.0,1.0,1,"255,550.00"
4143,"(N) 1-STORY ACCESSORY DWELLING UNIT (23'-11"" X 46'-6"") PER AB494 & SB2",2019-09-30,104000.0,1112.0,,1.0,R1-1,2216018011,2216018011,Residential,Single Family Residence,2012-10-18,3.0,2.0,1,"375,322.00"
4144,CONVERSION OF EXISTING DETACHED GARAGE INTO ACCESSORY DWELLING UNIT PE,2018-10-25,97000.0,817.0,,2.0,R1-1,4247009015,4247009015,Residential,Single Family Residence,2016-06-03,3.0,2.0,1,"1,485,690.00"
4145,"CONVERT (E) 18'-1"" X 18'-4"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING",2019-04-08,30000.0,331.0,0.0,0.0,R1-1,5682020004,5682020004,Residential,Single Family Residence,2018-04-03,3.0,2.0,1,"1,320,900.00"
4146,(N) 1-STORY ACCESSORY DWELLING UNIT PER AB494 & SB229 (NFPA-13D FIRE S,2019-10-04,133000.0,1192.5,,1.0,RS-1,2042003059,2042003059,Residential,Single Family Residence,2014-07-01,3.0,2.0,1,"785,414.00"
4147,"CONVERT (E) GARAGE (18'-2"" x 19', 345 SF) TO ACCESSORY DWELLING UNIT P",2018-02-13,20000.0,345.0,,1.0,R1V2,4110027005,4110027005,(missing),(missing),2017-08-25,4.0,6.0,2,"1,171,980.00"
4148,"ADD IRREGULAR 33'-0"" X 32'-6"" ACCESSORY DWELLING UNIT PER AB 494 AND S",2019-10-02,108000.0,944.0,,0.0,RS-1,2682019031,2682019031,Residential,Single Family Residence,2017-02-08,4.0,2.0,1,"283,504.00"
4149,"(N) 30'-0""x 40'-0"" DETACHED ACCESSORY DWELLING UNIT PER AB 2299 AND SB",2018-06-11,100000.0,1173.0,,1.0,RD3-1XL,2504011001,,,,,,,,
4150,Convert (e) garage to Accessory Dwelling Unit per AB494 and SB229 and,2019-09-23,13000.0,367.0,,2.0,R1-1VL-RIO,5445020004,5445020004,Residential,Single Family Residence,2007-11-20,2.0,1.0,1,"38,625.00"
4151,"CONVERT (18'-6"" X 20')  GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 &",2018-06-29,18000.0,380.0,,1.0,R1-1,4255008030,4255008030,Residential,Single Family Residence,2017-10-24,3.0,2.0,1,"1,122,000.00"
4152,CONVERT DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB,2019-06-26,20000.0,330.0,0.0,,RS-1,2650023009,2650023009,Residential,Single Family Residence,2012-08-20,3.0,2.0,1,"301,359.00"
4153,"(N) 16'-3""x 13'-8"" ONE STORY DETACHED ACCESSORY DWELLING UNIT. WORK PE",2019-10-03,21000.0,214.0,,1.0,R1-1,4218018014,4218018014,Residential,Single Family Residence,2004-02-17,3.0,1.0,1,"75,542.00"
4154,(N) Accessory Dwelling Unit per AB2299 and SB1069.,2017-11-01,120750.0,974.0,,2.0,R1-1,6054009016,6054009016,Residential,Single Family Residence,2017-04-18,3.0,1.0,1,"260,100.00"
4155,NEW 1-STORY ACCESSORY DWELLING UNIT PER AB 494  AND SB 229 FULLY SPRIN,2019-10-02,40000.0,492.0,,1.0,RE15-1-H,4388002043,4388002043,Residential,Single Family Residence,2010-08-06,7.0,5.0,1,"7,705,295.00"
4156,"CONVERT (E) 21'X18'-3"" GARAGE TO ACCESSORY DWELLING UNIT PER AB2299 A",2017-11-30,25000.0,1406.0,,1.0,R1-1-CUGU,2314011019,2314011019,Residential,Single Family Residence,2016-09-23,3.0,2.0,1,"431,765.00"
4157,CONVERT (E) GARAGE & STORAGE INTO AN ACCESSORY DWELLING UNIT AND ADD 6,2019-09-30,25000.0,587.0,,1.0,R1-1,6087018001,6087018001,Residential,Single Family Residence,1988-06-16,4.0,2.0,1,"78,204.00"
4158,ECPC WALK IN: CONVERT THE (E) TWO CAR GARAGE INTO A (N) ADU PER AB 494,2019-04-15,30000.0,330.0,0.0,0.0,R1-1,2249011011,2249011011,Residential,Single Family Residence,2017-05-11,3.0,2.0,1,"776,787.00"
4159,ACCESSORY DWELLING UNIT PER AB 494 & SB 229.,2019-09-30,84000.0,832.0,,1.0,R1-1-RIO,2233032036,2233032036,Residential,Single Family Residence,2015-04-28,3.0,3.0,1,"469,143.00"
4160,NEW ADU ATTACHED TO EXISTING GARAGE PER SB 494 AND AB 229.,2019-10-01,62620.0,620.0,,2.0,R1-1,4230015019,4230015019,Residential,Single Family Residence,2006-08-01,4.0,3.0,1,"1,039,375.00"
4161,(N) ACCESSORY DWELLING UNIT (A.D.U) PER AB 494 AND SB 229 IN REAR OF T,2019-05-16,35000.0,200.0,,1.0,R1V2,5526023022,5526023022,Residential,Single Family Residence,2018-04-09,3.0,2.0,1,"2,034,900.00"
4162,NEW DRIVEWAY TO RELOCATE PARKING STALL FOR (E) ACCESSORY DWELLING UNIT,2019-09-16,501.0,,,,R1-1,2204019014,2204019014,Residential,Single Family Residence,2018-09-25,3.0,2.0,1,"561,000.00"
4163,NEW DETACHED ADU ONE STORY PER AB494 AND SB229.,2019-10-04,118000.0,807.0,,1.0,R1-1XL-HPOZ,5504020015,5504020015,Residential,Single Family Residence,2013-01-16,5.0,3.0,1,"798,427.00"
4164,CONVERT (E) DETACHED GARAGE INTO (N) ACCESSORY DWELLING UNIT PER AB 49,2018-03-23,100000.0,1127.0,,0.0,RA-1-O,2649004017,2649004017,Residential,Single Family Residence,2017-04-21,4.0,3.0,1,"671,057.00"
4165,CONVERT THE (E) ATTACHED GARAGE INTO A (N) ACCESSORY DWELLING UNIT PER,2019-05-20,23000.0,200.0,0.0,,RS-1,2034015013,2034015013,Residential,Single Family Residence,2018-01-18,3.0,2.0,1,"74,230.00"
4166,NEW single-story (irregular 25' x 52') Accessory Dwelling Unit per AB,2019-10-04,121000.0,1176.8,,1.0,R1-1,2229002039,2229002039,Residential,Single Family Residence,2018-11-30,3.0,1.0,1,"550,000.00"
4167,"CONVERT (E) 17'-0'x 17'-0"" DETACHED CARPORT TO ACCESSORY DWELLING UNIT",2019-10-03,21000.0,302.0,,1.0,R1-1-O,4321013051,4321013051,Residential,Single Family Residence,2009-12-09,4.0,3.0,1,"1,868,791.00"
4168,"CONVERT (E) 20'-1"" X 22'-5"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING",2019-06-04,24000.0,424.0,0.0,0.0,RS-1,2038036015,2038036015,Residential,Single Family Residence,2015-08-28,3.0,2.0,1,"537,621.00"
4169,(N) Accessory dwelling unit at rear of property. Per AB494&SB229. Per,2019-10-01,20000.0,800.0,,1.0,RS-1,2647002014,2647002014,Residential,Single Family Residence,2016-06-03,4.0,2.0,1,"530,602.00"
4170,"NEW 2 STORY ACCESSORY DWELLING UNIT (20'x30'-6"") PER AB 494 AND SB 229",2019-03-19,120000.0,1154.0,,2.0,R1-1,2206031016,2206031016,Residential,Single Family Residence,2018-11-28,2.0,1.0,1,"450,000.00"
4171,CONVERT PORTION OF (E) DETACHED GARAGE TO NEW ADU AND ADD 227 SF FOR A,2018-08-29,60000.0,1081.0,,0.0,RA-1-K,2544024014,2544024014,Residential,Single Family Residence,2018-04-06,5.0,3.0,1,"953,700.00"
4172,NEW 40' X 29' DETACHED ACCESSORY DWELLING UNIT PER AB 494 AND SB 229.,2019-02-28,175000.0,1091.0,,1.0,RS-1,2014033006,2014033006,Residential,Single Family Residence,2007-10-24,3.0,2.0,1,"183,200.00"
4173,NEW ADDITION TO (E) GARAGE FOR AN ACCESSORY DWELLING UNIT PER AB 494 A,2019-10-03,120700.0,1195.0,,1.0,R2-1,6120019028,6120019028,Residential,Single Family Residence,1998-08-31,3.0,2.0,1,"284,357.00"
4174,CONVERT (E) ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND,2019-10-02,20000.0,367.0,0.0,1.0,RS-1,2611027013,2611027013,Residential,Single Family Residence,2000-01-27,4.0,3.0,1,"321,662.00"
4175,CONVERSION OF (E) GARAGE TO (N) ACCESSORY DWELLING UNIT PER AB 494 & S,2019-01-07,39000.0,341.25,,1.0,R1V2,4110025064,4110025064,Residential,Single Family Residence,2011-07-26,3.0,2.0,1,"114,577.00"
4176,CONVERT EXISTING DETACHED 20'X25' GARAGE INTO ACCESSORY DWELLING UNIT,2019-10-04,15000.0,500.0,,1.0,R2-1,5115030009,5115030009,Residential,Single Family Residence,2018-11-16,2.0,1.0,1,"370,000.00"
4177,CONVERT (E) REC ROOM AND GARAGE TO ACCESSORY DWELLING UNIT per AB 494,2019-04-09,30000.0,860.0,,1.0,R1-1,2261009006,2261009006,Residential,Single Family Residence,2006-03-31,3.0,2.0,1,"574,079.00"
4178,CONVERSION OF (E) 2ND STORY REC ROOM TO (N) ACCESSORY DWELLING UNIT PE,2018-08-02,15000.0,0.0,,0.0,R1V2,4246023010,4246023010,Residential,Single Family Residence,2013-07-02,4.0,3.0,1,"941,290.00"
4179,"NEW 53' X 16' (1) STORY ACCESSORY DWELLING UNIT PER AB 494 AND SB 229,",2018-08-31,85000.0,848.0,,1.0,RS-1,2661017020,2661017020,Residential,Single Family Residence,2012-11-02,3.0,2.0,1,"386,363.00"
4180,CONVERT THE EXIST. DETACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PER,2018-03-09,30000.0,490.0,,1.0,RS-1,2669023010,2669023010,Residential,Single Family Residence,2015-05-22,3.0,2.0,1,"474,048.00"
4181,CONVERT ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 2,2019-12-19,20000.0,2156.0,0.0,,R1-1,2301007008,2301007008,Residential,Single Family Residence,2016-10-27,4.0,3.0,1,"560,651.00"
4182,SITE RETAINING WALLS FOR NEW ADU,2019-10-02,10000.0,,,,RE15-1-H,4388002043,4388002043,Residential,Single Family Residence,2010-08-06,7.0,5.0,1,"7,705,295.00"
4183,CONVERT (E) ATT. GARAGE TO ACCESSORY DWELLING UNIT  PER AB 494 AND SB,2019-10-02,20000.0,404.0,,,R1-1,2625013008,2625013008,Residential,Single Family Residence,2015-08-12,3.0,2.0,1,"248,319.00"
4184,ECPC WALK IN: CONVERT THE (E) GARAGE INTO A (N) ACCESSORY DWELLING UNI,2019-04-17,18000.0,372.0,,,R1-1-RIO,2135015002,2135015002,Residential,Single Family Residence,2018-07-17,3.0,2.0,1,"450,000.00"
4185,"CONVERT (19' X 22'-4"") ATTACHED GARAGE TO AN ACCESSORY DWELLING UNIT,",2020-02-25,20000.0,400.0,0.0,0.0,RS-1,2033027001,2033027001,Residential,Single Family Residence,2017-12-29,3.0,2.0,1,"612,000.00"
4186,Convert (E) rec. room into an accessory dwelling unit (ADU) per AB 494,2019-08-01,15000.0,608.0,,1.0,R2-1-O,5070005015,5070005015,Residential,Single Family Residence,2012-07-25,2.0,1.0,1,"709,217.00"
4187,NEW DETACHED 20' X 30' 2-STORY ACCESSORY DWELLING UNIT PER AB 494 AND,2019-10-10,121000.0,1080.0,,2.0,R1-1,2112015009,2112015009,Residential,Single Family Residence,2018-05-07,2.0,1.0,1,"210,711.00"
4188,CONVERT REAR PORTION OF SINGLE FAMILY DWELLING TO ACCESSORY DWELLING U,2020-02-25,30000.0,0.0,0.0,0.0,R1-1,5006026012,5006026012,Residential,Single Family Residence,2006-05-26,2.0,1.0,1,"545,145.00"
4189,CONVERT EX DET. GARAGE W/ATT TRELLIS INTO ACCESSORY DWELLING UNIT W/ A,2020-02-24,65000.0,1116.0,,1.0,R1-1-O-CUGU,2620013021,2620013021,Residential,Single Family Residence,2018-11-13,2.0,1.0,1,"219,357.00"
4190,CONVERT (E) GARAGE TO ACCESSORY DWELLING UNIT PER AB 494  AND SB 229,2018-06-25,30000.0,498.0,,1.0,R1-1-RIO,2364009040,2364009040,Residential,Single Family Residence,2018-05-16,2.0,2.0,1,"264,418.00"
4191,CONVERT THE (E) REC. ROOM INTO AN ACCESSORY DWELLING UNIT PER AB 494 A,2019-08-13,10000.0,0.0,,,RD1.5-1,2347029005,2347029005,Residential,"Double, Duplex, or Two Units",2009-11-24,3.0,2.0,2,"543,852.00"
4192,Convert the detached garage into an Accessory Dwelling Unit per AB 494,2019-12-19,25000.0,727.0,,1.0,R2-1,5103027021,5103027021,Residential,Single Family Residence,2004-06-04,2.0,1.0,1,"129,272.00"
4193,CONVERT GARAGE TO ACCESSORY DWELLING UNIT PER AB494 AND SB229. AND 1-S,2019-12-17,40000.0,670.0,,1.0,RD2-1-CPIO,5058023016,5058023016,Residential,Single Family Residence,2015-01-29,2.0,1.0,1,"458,156.00"
4194,PROPOSED ADDITION TO AND CONVERSION OF GARAGE TO ACCESSORY DWELLING UN,2019-12-19,50000.0,650.0,,1.0,R1-1,5689030018,5689030018,Residential,Single Family Residence,2002-07-22,3.0,1.0,1,"350,539.00"
4195,CONVERT ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 2,2019-12-19,30000.0,450.0,0.0,,RS-1,2034013009,2034013009,Residential,Single Family Residence,2014-02-28,4.0,2.0,1,"213,554.00"
4196,CONVERT EXISTING DETACHED GARAGE  INTO AN  ACCESSORY DWELLING UNIT PER,2019-12-20,25000.0,360.0,,1.0,R1-1-CUGU,2310024024,2310024024,Residential,Single Family Residence,2011-10-17,2.0,2.0,1,"200,178.00"
4197,CONVERT ATTACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PER AB 494 AND,2019-12-20,20000.0,335.0,0.0,,R1-1-RIO,2229014013,2229014013,Residential,Single Family Residence,2009-07-02,3.0,2.0,1,"354,568.00"
4198,"NEW SINGLE STORY 15'X30', TYPE VB, R3-OCC ACCESSORY DWELLING UNIT PER",2018-09-27,88600.0,400.0,,1.0,R1-1,5476020018,5476020018,Residential,Single Family Residence,2016-11-09,2.0,2.0,1,"915,552.00"
